customer_id,store_id,first_name,last_name,email,active,create_date,district,city,country
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,2006-02-14 22:04:36,Nagasaki,Sasebo,Japan
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,2006-02-14 22:04:36,California,San Bernardino,United States
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,2006-02-14 22:04:36,Attika,Athenai,Greece
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,2006-02-14 22:04:36,Mandalay,Myingyan,Myanmar
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,1,2006-02-14 22:04:36,Nantou,Nantou,Taiwan
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1,2006-02-14 22:04:36,Texas,Laredo,United States
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,1,2006-02-14 22:04:36,Central Serbia,Kragujevac,Yugoslavia
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,1,2006-02-14 22:04:36,Hamilton,Hamilton,New Zealand
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,1,2006-02-14 22:04:36,Masqat,Masqat,Oman
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1,2006-02-14 22:04:36,Esfahan,Esfahan,Iran
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,1,2006-02-14 22:04:36,Kanagawa,Sagamihara,Japan
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,1,2006-02-14 22:04:36,Haryana,Yamuna Nagar,India
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,1,2006-02-14 22:04:36,Osmaniye,Osmaniye,Turkey
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,1,2006-02-14 22:04:36,California,Citrus Heights,United States
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,1,2006-02-14 22:04:36,Madhya Pradesh,Bhopal,India
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,0,2006-02-14 22:04:36,England,Southend-on-Sea,United Kingdom
